Facility_ID,City,State,County,Total_Admissions,ReadmissionRate,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_1,H_Comp_2,H_Comp_3,H_Comp_5,H_Comp_6,H_Comp_7,H_Comp_Cl,H_Comp_Qt,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT
340041,LENOIR,NC,Caldwell,360,14.9,0.615,0.562,,0.612,0.28013499999999997,0.21710500000000002,0.093684,2.6318610000000002,1.164168,5.555151,3.4539769999999996,4.551707,0.846957,1.118949,0.8798520000000001,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,0.075,0.35833333333333334,0.325,0.28055555555555556,0.5916666666666667,150,3,medium,58,96,36643.666666666664,82178.0,44.8
340042,JACKSONVILLE,NC,Onslow,606,15.5,0.0,1.919,2.762,1.087,1.423235,0.292885,0.093084,2.874945,1.3982860000000001,4.5589580000000005,2.772472,4.622364,0.837521,1.073034,1.173165,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,0.07260726072607261,0.5907590759075908,0.38778877887788776,0.17491749174917492,0.6468646864686468,254,,,76,90,41290.0,197938.0,27.1
340047,WINSTON-SALEM,NC,Forsyth,2354,15.4,1.608,0.494,1.676,0.498,1.067805,0.278264,0.084,1.5886280000000002,1.214677,4.651756,4.084529,5.072515,0.958081,0.846449,1.122649,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,0.18181818181818182,0.10237892948173322,0.28377230246389124,0.052251486830926085,0.23874256584536957,225,2,very high,37,97,49038.666666666664,382295.0,38.5
340050,LUMBERTON,NC,Robeson,881,14.8,3.216,1.38,0.885,0.368,0.152288,0.193241,0.103887,2.3544,1.343592,6.441947,3.881668,5.5799,0.9941540000000001,1.041339,0.948124,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,0.17366628830874006,0.41430192962542567,0.5947786606129398,0.06583427922814983,0.5300794551645857,208,,,59,100,30820.0,130625.0,37.2
340051,BOONE,NC,Watauga,612,15.0,,,,0.898,0.275408,0.318818,0.092373,2.49373,1.332783,5.702895,2.428988,4.26794,1.00124,1.069038,0.8389,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0.08660130718954248,0.25326797385620914,0.2434640522875817,0.5261437908496732,0.20098039215686275,184,,,44,98,38504.333333333336,56177.0,33.2
340053,CHARLOTTE,NC,Mecklenburg,1836,14.7,0.678,0.783,0.485,0.344,0.500153,0.192108,0.086991,2.5475060000000003,1.709571,4.405541,3.2769489999999997,4.870702,0.779022,1.6286260000000001,0.9555959999999999,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.12200435729847495,0.10348583877995643,0.27450980392156865,0.5174291938997821,0.20697167755991286,200,5,very high,83,94,62964.666666666664,1110356.0,35.3
340060,EDEN,NC,Rockingham,213,15.4,,0.0,,0.353,1.023636,0.264992,0.09491799999999999,2.475644,,,3.340817,,0.853209,1.149861,1.109989,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,,0.5352112676056338,0.6056338028169014,,0.7183098591549296,186,3,medium,46,100,38438.333333333336,91010.0,45.3
340061,CHAPEL HILL,NC,Orange,2074,15.4,1.113,0.906,0.344,0.672,2.135133,0.209036,0.085392,1.7782830000000003,1.340267,3.889614,3.50789,5.873662,0.783181,0.975627,1.4164510000000001,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.11041465766634523,0.0665380906460945,0.24783027965284474,0.14705882352941177,0.19479267116682739,247,2,very high,41,96,65004.0,148476.0,35.1
340064,NORTH WILKESBORO,NC,Wilkes,267,15.2,0.0,0.0,,0.891,0.374308,0.263973,0.094301,2.5003189999999997,1.414042,4.795643,3.835732,4.794029,0.852735,1.151037,0.937552,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,0.37453183520599254,0.40823970037453183,0.149812734082397,0.7940074906367042,174,2,medium,52,98,37757.333333333336,68412.0,45.4
340068,WHITEVILLE,NC,Columbus,431,16.0,0.831,,0.0,0.534,0.668432,0.217081,0.09387100000000001,2.308354,1.412748,4.688515,4.613914,4.715001999999999,0.840427,1.067632,1.041377,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,,0.41531322505800466,0.4756380510440835,,0.46867749419953597,154,2,medium,56,90,34105.0,55508.0,42.4
