ReadmissionRate,Facility_ID,City,State,County,Total_Admissions,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT,County_Facilities,Pop/Hosp
14.4,30007,COTTONWOOD,AZ,Yavapai,508,,0.0,,0.485,0.25995100000000004,0.242144,0.093426,2.967718,1.3618290000000002,5.365167,4.171035,5.056496,0.8414659999999999,1.032455,0.951233,3.0,0.2421259842519685,0.1968503937007874,0.4055118110236221,0.17716535433070865,0.7775590551181102,182.0,2.0,2.0,52.0,92.0,41888.0,235099.0,54.7,2,117549.5
15.1,30010,TUCSON,AZ,Pima,658,0.688,1.489,1.168,0.252,0.212561,0.20687,0.092709,2.7029810000000003,1.212543,7.11683,3.917821,4.9466839999999985,0.825974,1.0096459999999998,0.952125,2.0,0.2006079027355623,0.15501519756838905,0.22948328267477205,0.10182370820668693,0.3829787234042553,177.0,2.0,3.0,54.0,70.0,45375.0,1047279.0,39.1,8,130909.875
15.1,30011,TUCSON,AZ,Pima,1076,0.266,0.166,1.111,0.34600000000000003,0.382181,0.19098,0.090364,2.419068,1.192417,4.036094,3.896174,5.5002309999999985,0.801562,1.116083,0.926098,2.0,0.13754646840148702,0.25,0.23234200743494424,0.38940520446096655,0.31226765799256506,226.0,2.0,3.0,55.0,71.0,45375.0,1047279.0,39.1,8,130909.875
15.6,30012,PRESCOTT,AZ,Yavapai,1411,0.6609999999999999,0.5329999999999999,0.591,1.107,1.019468,0.301063,0.08926100000000001,2.528098,1.6987709999999998,4.8922300000000005,3.709354,5.123541,0.932845,1.141296,1.158867,4.0,0.2317505315379164,0.1700921332388377,0.26506024096385544,0.3288447909284196,0.5017717930545712,210.0,3.0,4.0,31.0,35.0,41888.0,235099.0,54.7,2,117549.5
13.6,30013,YUMA,AZ,Yuma,1337,1.368,1.3719999999999999,1.0659999999999998,0.512,0.904881,0.210108,0.088745,2.397795,1.352636,3.855139,3.681359,3.3919019999999995,0.801717,1.332387,0.970585,2.0,0.3201196709050112,0.26851159311892303,0.4338070306656694,0.4121166791323859,0.631264023934181,256.0,2.0,4.0,19.0,88.0,36512.333333333336,213787.0,35.0,1,213787.0
15.6,30014,PHOENIX,AZ,Maricopa,942,0.511,0.451,1.651,0.5770000000000001,0.652663,0.234522,0.091745,2.24147,1.273723,4.592388,4.277554,4.648153,1.124431,0.96674,1.005598,4.0,0.1178343949044586,0.16454352441613587,0.2526539278131635,0.2197452229299363,0.4469214437367304,210.0,5.0,3.0,61.0,91.0,50263.33333333334,4485414.0,36.9,27,166126.44444444444
14.6,30016,CASA GRANDE,AZ,Pinal,421,1.575,0.24,0.5670000000000001,0.44299999999999995,0.279911,0.214384,0.093988,2.376348,1.382914,5.157977,3.811998,5.016922,0.834674,1.385705,0.926576,2.0,0.2565320665083136,0.2517814726840855,0.4560570071258908,0.2731591448931117,0.8741092636579573,221.0,6.0,3.0,67.0,89.0,33442.333333333336,462789.0,40.0,2,231394.5
14.4,30023,FLAGSTAFF,AZ,Coconino,1213,1.2770000000000001,0.36,0.8320000000000001,0.7809999999999999,1.328869,0.271778,0.102602,3.676784,1.75497,4.349126,2.476742,4.740626,0.793767,1.6012,1.180233,3.0,0.14756801319043694,0.06760098928276999,0.21187139323990106,0.3891178895300907,0.2827699917559769,221.0,1.0,3.0,47.0,95.0,50096.33333333334,143476.0,31.1,1,143476.0
15.2,30024,PHOENIX,AZ,Maricopa,1730,0.9079999999999999,0.8270000000000001,0.628,0.445,0.354427,0.229769,0.088087,3.613579,1.7535470000000002,6.772124000000002,4.618943,5.893262,1.1718,1.867193,1.150579,4.0,0.06589595375722543,0.07572254335260116,0.10346820809248557,0.0161849710982659,0.20751445086705206,188.0,1.0,4.0,66.0,88.0,50263.33333333334,4485414.0,36.9,27,166126.44444444444
15.7,30030,PHOENIX,AZ,Maricopa,306,1.3880000000000001,0.37200000000000005,0.483,0.252,1.018186,0.217696,0.094557,2.5825,,,3.222092,,0.8382459999999999,1.7213439999999998,1.147617,1.0,0.12091503267973855,0.19607843137254904,0.2222222222222222,,0.3725490196078432,168.0,1.0,3.0,55.0,55.0,50263.33333333334,4485414.0,36.9,27,166126.44444444444
15.6,30036,CHANDLER,AZ,Maricopa,2208,1.3869999999999998,1.113,0.972,0.843,0.095962,0.22271,0.08706900000000001,2.785982,2.081892,8.600919000000001,4.1243300000000005,5.935221,0.91485,2.537704,1.130908,4.0,0.1503623188405797,0.1526268115942029,0.2395833333333333,0.08559782608695653,0.4465579710144928,133.0,2.0,4.0,56.0,97.0,50263.33333333334,4485414.0,36.9,27,166126.44444444444
